Name,PlayerID,Kills,Headshot%,Deaths,Rounds Played,Assists,Birth Name,Age,Country,Current Team
coldzera,9216,9430,46.0%,7058,11490,7008,Marcelo David,22,Brazil,SK
flamie,7594,13433,54.6%,12229,18122,12141,Egor Vasilyev,19,Russia,Natus Vincere
Snax,2553,18995,37.8%,16707,25814,16779,Janusz Pogorzelski,23,Poland,Virtus.pro
AdreN,334,15835,48.7%,14823,21955,3512,Dauren Kystaubayev,27,Kazakhstan,Gambit
device,7592,17258,36.3%,13807,21846,13762,Nicolai Reedtz,21,Denmark,Astralis
kennyS,7167,20086,31.2%,15977,25536,16087,Kenny Schrub,21,France,G2
Magisk,9032,8215,47.7%,6774,10690,6734,Emil Reif,18,Denmark,North
fer,8564,9825,42.4%,8551,12601,8568,Fernando Alvarenga,25,Brazil,SK
s1mple,7998,11378,42.8%,9539,13563,9494,Aleksandr Kostyliev,19,Ukraine,Natus Vincere
Kjaerbye,8394,13329,52.3%,11843,18145,11794,Markus Kjærbye,18,Denmark,Astralis
shox,1225,20692,49.2%,17637,26550,17523,Richard Papillon,24,France,G2
RpK,7169,10303,49.5%,10443,15079,10404,Cédric Guipouy,27,France,EnVyUs
electronic,8918,5224,52.0%,4889,6911,4906,Denis Sharipov,18,Russia,FlipSid3
RUSH,7805,8474,46.1%,7894,11703,7841,Will Wierzba,22,United States,OpTic
NiKo,3741,11319,50.9%,9600,13745,9621,Nikola Kovač,20,Bosnia and Herzegovina,FaZe
allu,695,16742,29.6%,14254,21972,14281,Aleksi Jalli,24,Finland,FaZe
Edward,483,16651,50.5%,15421,23094,15472,Ioann Sukhariev,29,Ukraine,Natus Vincere
TaZ,161,21177,52.1%,20238,30305,20304,Wiktor Wojtas,30,Poland,Virtus.pro
KRIMZ,7528,14945,39.5%,12954,20982,13008,Freddy Johansson,22,Sweden,fnatic
gla1ve,7412,12093,48.2%,11561,17349,11623,Lukas Rossander,21,Denmark,Astralis
pashaBiceps,317,21291,38.8%,20014,29058,20050,Jarosław Jarząbkowski,28,Poland,Virtus.pro
JW,3849,20091,35.9%,17841,26402,17953,Jesper Wecksell,22,Sweden,fnatic
seized,3347,16065,44.9%,15196,22962,15154,Denis Kostin,22,Russia,Natus Vincere
NBK-,7168,20283,53.4%,18601,28215,18621,Nathan Schmitt,22,France,G2
flusha,3055,19856,41.9%,16953,26543,16987,Robin Rönnquist,23,Sweden,fnatic
bodyy,8374,5883,55.5%,5821,8540,5807,Alexandre Pianaro,20,France,G2
ANGE1,339,19656,48.8%,19280,27427,4936,Kirill Karasiow,27,Ukraine,HellRaisers
cajunb,2469,16976,39.8%,14772,23322,14692,René Borg,27,Denmark,North
Pimp,7154,16984,46.6%,15071,23471,3051,Jacob Winneche,21,Denmark,Liquid
apEX,7322,18123,53.5%,17129,24007,17044,Dan Madesclaire,24,France,G2
dupreeh,7398,18221,51.2%,15794,24182,15718,Peter Rasmussen,23,Denmark,Astralis
twist,7443,12155,43.7%,10789,15757,10714,Simon Eliasson,22,Sweden,GODSENT
karrigan,429,15609,39.1%,16101,23498,16213,Finn Andersen,26,Denmark,FaZe
RUBINO,1485,11077,52.0%,10865,15962,10854,Ruben Villarroel,22,Norway,No team
fox,629,9490,31.8%,9057,13306,9048,Ricardo Pacheco,30,Portugal,No team
HObbit,8528,2939,47.6%,2579,3892,622,Abay Khasenov,22,Kazakhstan,Gambit
GuardiaN,2757,17608,29.8%,14215,22719,2726,Ladislav Kovács,25,Slovakia,Natus Vincere
mou,964,10178,30.0%,9455,14215,1705,Rustem Telepov,25,Kazakhstan,Gambit
znajder,3847,14440,47.6%,13036,19546,13095,Andreas Lindberg,23,Sweden,GODSENT
markeloff,338,16623,41.2%,16116,24791,16114,Yegor Markelov,29,Ukraine,FlipSid3
olofmeister,885,15588,43.2%,13143,20299,13194,Olof Kajbjer,25,Sweden,fnatic
rain,8183,10643,54.1%,10004,14236,9965,Håvard Nygaard,22,Norway,FaZe
kioShiMa,4959,15705,49.9%,14626,22896,14653,Fabien Fiey,22,France,FaZe
Xyp9x,4954,17226,41.9%,15958,25680,15921,Andreas Højsleth,21,Denmark,Astralis
Zeus,484,15532,43.1%,15976,23249,3952,Danylo Teslenko,29,Ukraine,Gambit
byali,5386,18754,49.4%,17346,26386,17414,Paweł Bieliński,22,Poland,Virtus.pro
FalleN,2023,9169,29.7%,7588,12709,1525,Gabriel Toledo,25,Brazil,SK
jdm64,8346,8505,21.9%,7784,12013,1321,Josh Marzano,26,United States,Liquid
STYKO,6904,8113,54.8%,7824,11646,1746,Martin Styk,21,Slovakia,HellRaisers
Happy,7429,18813,40.7%,16372,24809,16373,Vincent Schopenhauer,25,France,EnVyUs
chrisJ,2730,15789,36.8%,13853,21437,13934,Chris de Jong,26,Netherlands,mousesports
aizy,8095,13460,49.6%,12489,18354,12480,Philip Aistrup,20,Denmark,North
NAF,8520,8843,41.1%,7883,12059,7838,Keith Markovic,19,Canada,OpTic
k0nfig,9078,10029,54.3%,9036,13177,9092,Kristian Wienecke,19,Denmark,North
stanislaw,8507,6920,46.0%,6729,10024,1603,Peter Jarguz,22,Canada,Liquid
B1ad3,472,11066,42.0%,13638,18773,13704,Andrey Gorodenskiy,30,Ukraine,FlipSid3
Dosia,735,16910,48.5%,15760,24187,15721,Mihail Stolyarov,28,Russia,Gambit
dennis,1146,10348,52.1%,9490,14023,9535,Dennis Edman,26,Sweden,fnatic
NEO,165,21043,35.7%,20134,30486,20120,Filip Kubski,29,Poland,Virtus.pro
loWel,3997,8269,45.8%,7361,11033,7392,Christian Garcia Antoran,20,Spain,mousesports
Zero,8413,6186,45.6%,5844,9253,1110,Patrik údel,18,Slovakia,HellRaisers
TACO,9217,5936,49.9%,5907,9130,5934,Epitacio de Melo,22,Brazil,SK
disco doplan,9256,5850,41.5%,5165,7972,5181,Joakim Gidetun,21,Sweden,GODSENT
mixwell,8370,6226,39.8%,5267,8013,5288,Óscar Cañellas,21,Spain,OpTic
denis,7511,10665,43.1%,11558,16235,11526,Denis Howell,22,Germany,mousesports
ScreaM,7390,17294,69.0%,14865,22804,14822,Adil Benrlitom,22,Belgium,EnVyUs
Hiko,2644,10773,53.4%,9389,15285,9323,Spencer Martin,26,United States,OpTic
nitr0,7687,9433,44.8%,8801,12813,2050,Nick Cannella,21,United States,Liquid
WorldEdit,7403,14364,28.1%,12725,19071,12777,Georgi Yaskin,25,Russia,FlipSid3
wayLander,7796,5136,52.0%,5552,7591,5541,Jan Rahkonen,22,Finland,FlipSid3
tarik,8523,10279,36.7%,9285,13619,9260,Tarik Celik,21,United States,OpTic
DeadFox,8716,6465,33.5%,5855,8734,1048,Bence Böröcz,22,Hungary,HellRaisers
bondik,2131,12270,46.7%,11469,17157,11495,Vladyslav Nechyporchuk,23,Ukraine,HellRaisers
SIXER,147,2722,46.3%,2805,4329,519,Christophe Xia,25,France,EnVyUs
MSL,7156,16649,43.0%,18624,25743,18534,Mathias Lauridsen,22,Denmark,North
pronax,41,15004,45.8%,16327,24780,16354,Markus Wallsten,25,Sweden,GODSENT
Spiidi,7499,11204,39.7%,10822,16611,10797,Timo Richter,21,Germany,mousesports
SmithZz,7170,18346,40.6%,18422,27591,18485,Edouard Dubourdeaux,28,France,No team
oskar,798,8698,33.2%,7193,10881,7181,Tomá ťastný,25,Czech Republic,mousesports
Skadoodle,7440,10893,24.4%,9011,15488,8983,Tyler Latham,23,United States,Cloud9
Stewie2K,8797,7296,49.3%,6764,9660,6762,Jake Yip,19,United States,Cloud9
felps,9219,5882,43.5%,5359,7447,5361,Joao Vasconcellos,20,Brazil,SK
f0rest,29,21161,49.7%,17056,26660,17062,Patrik Lindberg,28,Sweden,NiP
autimatic,8735,8162,46.4%,7344,10759,7316,Timothy Ta,20,United States,Cloud9
jkaem,8248,7981,51.4%,7798,11138,7796,Joakim Myrbostad,22,Norway,No team
GeT_RiGhT,39,21876,49.1%,17023,27430,17006,Christopher Alesund,26,Sweden,NiP
pyth,7527,8987,55.7%,8583,12515,1626,Jacob Mourujärvi,23,Sweden,NiP
shroud,8349,10376,52.4%,8992,13971,8941,Mike Grzesiek,22,Canada,Cloud9
n0thing,203,11018,53.0%,10203,15258,10222,Jordan Gilbert,26,United States,Cloud9
friberg,7148,18424,47.7%,17671,26643,17584,Adam Friberg,25,Sweden,NiP
Xizt,884,19483,47.9%,17542,27320,17484,Richard Landström,26,Sweden,NiP
fnx,557,6497,50.8%,5824,8861,1506,Lincoln Lau,27,Brazil,Immortals
EliGE,8738,9045,48.3%,8534,12108,1937,Jonathan Jablonowski,19,United States,Liquid
spaze,8345,6154,49.8%,5946,8227,5923,Ivan Obrezhan,19,Russia,No team
TENZKI,5287,9443,51.9%,9123,13813,9116,Jesper Plougmann,22,Denmark,Rogue
Shara,1866,4236,52.0%,4771,6724,4774,Oleksandr Hordieyev,24,Ukraine,spray'n'pray
nex,7256,11338,50.3%,9784,14794,9764,Johannes Maget,24,Germany,BIG
hooch,499,7054,41.9%,7859,11341,7825,Dmitry Bogdanov,29,Russia,BOOYAKA
zonic,21,222,42.8%,323,478,325,Danny Sørensen,-,Denmark,No team
